,items,support,ordered_statistics
42,"frozenset({'Sem Vítimas', 'Céu Claro', 'Incêndio'})",0.011542841098753686,"[OrderedStatistic(items_base=frozenset({'Incêndio'}), items_add=frozenset({'Sem Vítimas', 'Céu Claro'}), confidence=0.631938514090521, lift=5.89022189587514), OrderedStatistic(items_base=frozenset({'Céu Claro', 'Incêndio'}), items_add=frozenset({'Sem Vítimas'}), confidence=0.9622886866059819, lift=5.365866348579881)]"
43,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal'})",0.05072610709884728,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos'}), items_add=frozenset({'Colisão transversal'}), confidence=0.62877030162413, lift=5.041880583717492)]"
44,"frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro', 'Colisão transversal'})",0.03378620786473038,"[OrderedStatistic(items_base=frozenset({'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro'}), items_add=frozenset({'Colisão transversal'}), confidence=0.628554846198491, lift=5.040152924945473)]"
45,"frozenset({'Reta', 'Demais falhas mecânicas ou elétricas', 'Incêndio'})",0.011464848929167512,"[OrderedStatistic(items_base=frozenset({'Incêndio'}), items_add=frozenset({'Reta', 'Demais falhas mecânicas ou elétricas'}), confidence=0.627668659265585, lift=22.695549958746412), OrderedStatistic(items_base=frozenset({'Reta', 'Incêndio'}), items_add=frozenset({'Demais falhas mecânicas ou elétricas'}), confidence=0.8647058823529412, lift=20.863917731187318)]"
46,"frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal', 'Com Vítimas Feridas'})",0.03155563181456582,"[OrderedStatistic(items_base=frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos'}), items_add=frozenset({'Colisão transversal', 'Com Vítimas Feridas'}), confidence=0.6270923744575326, lift=5.9869344801337245), OrderedStatistic(items_base=frozenset({'Simples', 'Acessar a via sem observar a presença dos outros veículos', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão transversal'}), confidence=0.7353689567430025, lift=5.896656466271063)]"
47,"frozenset({'101.0', 'Condutor deixou de manter distância do veículo da frente', 'Colisão traseira', 'Com Vítimas Feridas'})",0.011995195682353492,"[OrderedStatistic(items_base=frozenset({'101.0', 'Condutor deixou de manter distância do veículo da frente'}), items_add=frozenset({'Colisão traseira', 'Com Vítimas Feridas'}), confidence=0.6252032520325204, lift=4.2373565159692195), OrderedStatistic(items_base=frozenset({'101.0', 'Condutor deixou de manter distância do veículo da frente', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão traseira'}), confidence=0.7644135188866799, lift=3.991674373406057)]"
48,"frozenset({'Manhã', 'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro', 'Colisão transversal'})",0.010856510006395358,"[OrderedStatistic(items_base=frozenset({'Manhã', 'Acessar a via sem observar a presença dos outros veículos', 'Céu Claro'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6236559139784946, lift=5.000870167510608)]"
49,"frozenset({'Colisão transversal', 'Tarde', 'Interseção de vias'})",0.010965699043816,"[OrderedStatistic(items_base=frozenset({'Tarde', 'Interseção de vias'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6232269503546098, lift=4.997430464075507)]"
50,"frozenset({'Manhã', 'Acessar a via sem observar a presença dos outros veículos', 'Colisão transversal'})",0.015770016690324292,"[OrderedStatistic(items_base=frozenset({'Manhã', 'Acessar a via sem observar a presença dos outros veículos'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6194852941176471, lift=4.967427482249936)]"
51,"frozenset({'Interseção de vias', 'Colisão transversal', 'Com Vítimas Feridas'})",0.02060553120466705,"[OrderedStatistic(items_base=frozenset({'Interseção de vias', 'Com Vítimas Feridas'}), items_add=frozenset({'Colisão transversal'}), confidence=0.6138475836431228, lift=4.922220730428638)]"
